snapped_at,price,market_cap,total_volume
2017-10-16 00:00:00 UTC,281.5118497312729,26782991497.001797,455371481.17293096
2017-10-17 00:00:00 UTC,270.08155287930333,25700954630.200344,313208354.41484684
2017-10-18 00:00:00 UTC,266.522369394977,25367689736.619503,389275038.8425585
2017-10-19 00:00:00 UTC,260.3005010138457,24780739668.872128,212434513.0083913
2017-10-20 00:00:00 UTC,256.657428910749,24439229653.08336,230027100.73124906
2017-10-21 00:00:00 UTC,255.13722482976758,24299570609.849583,247238841.4049917
2017-10-22 00:00:00 UTC,251.4300636823132,23951682703.36236,193860314.9409072
2017-10-23 00:00:00 UTC,246.24618679239845,23462806761.55032,304238701.147509
2017-10-24 00:00:00 UTC,254.00869793459,24207738359.459755,444355148.5985722
2017-10-25 00:00:00 UTC,252.5410161643718,24072970566.869617,190152359.5903856
2017-10-26 00:00:00 UTC,253.71733926309682,24189517686.62614,150331745.9920739
2017-10-27 00:00:00 UTC,256.63645024668403,24473795547.751347,142185099.69752222
2017-10-28 00:00:00 UTC,255.37520689918102,24358729164.88804,153910971.34138417
2017-10-29 00:00:00 UTC,261.69120830784436,24966487480.060738,344754431.1254208
2017-10-30 00:00:00 UTC,262.93415019346116,25090380586.933804,210902988.62505543
2017-10-31 00:00:00 UTC,260.55387533070217,24868606059.005054,236104252.61967427
2017-11-01 00:00:00 UTC,251.4308653856671,24002953165.00617,295764656.03246886
2017-11-02 00:00:00 UTC,246.28252314079919,23516455918.192604,623851775.1582582
2017-11-03 00:00:00 UTC,263.48764953216136,25164636964.39788,425183700.59198934
2017-11-04 00:00:00 UTC,258.41865414126124,24685735758.85374,273728954.24362874
2017-11-05 00:00:00 UTC,256.18234885428063,24477395451.67502,215678026.40356788
2017-11-06 00:00:00 UTC,259.51943231330023,24801493587.88516,407268703.98329663
2017-11-07 00:00:00 UTC,254.40764002319648,24318175026.25889,358371064.77077854
2017-11-08 00:00:00 UTC,266.4913998157632,25478617814.052555,651924050.277003
